frame,abstime,reltime,Cursor 1 [C],Cursor 2 [C],Cursor 3 [C]
14822,16:30.3,9.311,3.63E+01,3.37E+01,3.13E+01
14823,16:30.4,9.373,3.63E+01,3.37E+01,3.13E+01
14824,16:30.5,9.437,3.62E+01,3.37E+01,3.13E+01
14825,16:30.5,9.497,3.62E+01,3.37E+01,3.13E+01
14826,16:30.6,9.563,3.62E+01,3.37E+01,3.13E+01
14827,16:30.6,9.623,3.62E+01,3.37E+01,3.13E+01
14828,16:30.7,9.685,3.62E+01,3.37E+01,3.13E+01
14829,16:30.8,9.749,3.62E+01,3.37E+01,3.13E+01
14830,16:30.8,9.812,3.63E+01,3.37E+01,3.13E+01
14831,16:30.9,9.873,3.63E+01,3.37E+01,3.13E+01
14832,16:31.0,9.937,3.62E+01,3.37E+01,3.13E+01
14833,16:31.0,10.001,3.62E+01,3.37E+01,3.13E+01
14834,16:31.1,10.062,3.62E+01,3.36E+01,3.13E+01
14835,16:31.1,10.123,3.61E+01,3.36E+01,3.13E+01
14836,16:31.2,10.188,3.61E+01,3.36E+01,3.12E+01
14837,16:31.3,10.248,3.61E+01,3.36E+01,3.13E+01
14838,16:31.3,10.312,3.61E+01,3.36E+01,3.13E+01
14839,16:31.4,10.372,3.61E+01,3.36E+01,3.12E+01
14840,16:31.5,10.436,3.61E+01,3.36E+01,3.13E+01
14841,16:31.5,10.5,3.61E+01,3.36E+01,3.13E+01
14842,16:31.6,10.561,3.61E+01,3.36E+01,3.13E+01
14843,16:31.7,10.624,3.61E+01,3.36E+01,3.13E+01
14844,16:31.7,10.688,3.60E+01,3.36E+01,3.13E+01
14845,16:31.8,10.75,3.60E+01,3.36E+01,3.13E+01
14846,16:31.8,10.811,3.60E+01,3.36E+01,3.12E+01
14847,16:31.9,10.877,3.60E+01,3.36E+01,3.12E+01
14848,16:32.0,10.936,3.59E+01,3.35E+01,3.12E+01
14849,16:32.0,10.998,3.59E+01,3.35E+01,3.12E+01
14850,16:32.1,11.06,3.59E+01,3.36E+01,3.12E+01
14851,16:32.2,11.125,3.59E+01,3.35E+01,3.12E+01
14852,16:32.2,11.185,3.59E+01,3.35E+01,3.11E+01
14853,16:32.3,11.25,3.59E+01,3.35E+01,3.11E+01
14854,16:32.3,11.31,3.59E+01,3.35E+01,3.12E+01
14855,16:32.4,11.372,3.59E+01,3.35E+01,3.12E+01
14856,16:32.5,11.436,3.58E+01,3.35E+01,3.12E+01
14857,16:32.5,11.5,3.58E+01,3.34E+01,3.12E+01
14858,16:32.6,11.561,3.58E+01,3.34E+01,3.12E+01
14859,16:32.7,11.626,3.58E+01,3.34E+01,3.12E+01
14860,16:32.7,11.686,3.58E+01,3.34E+01,3.12E+01
14861,16:32.8,11.747,3.58E+01,3.35E+01,3.11E+01
14862,16:32.8,11.812,3.58E+01,3.35E+01,3.11E+01
14863,16:32.9,11.873,3.58E+01,3.35E+01,3.11E+01
14864,16:33.0,11.936,3.58E+01,3.34E+01,3.12E+01
14865,16:33.0,12,3.58E+01,3.34E+01,3.12E+01
14866,16:33.1,12.062,3.57E+01,3.34E+01,3.12E+01
14867,16:33.1,12.122,3.57E+01,3.34E+01,3.12E+01
14868,16:33.2,12.185,3.57E+01,3.34E+01,3.11E+01
14869,16:33.3,12.25,3.57E+01,3.35E+01,3.11E+01
14870,16:33.3,12.311,3.57E+01,3.34E+01,3.11E+01
14871,16:33.4,12.375,3.57E+01,3.35E+01,3.11E+01
14872,16:33.5,12.435,3.57E+01,3.34E+01,3.10E+01
14873,16:33.5,12.5,3.57E+01,3.34E+01,3.11E+01
14874,16:33.6,12.561,3.57E+01,3.34E+01,3.11E+01
14875,16:33.7,12.626,3.57E+01,3.34E+01,3.11E+01
14876,16:33.7,12.687,3.56E+01,3.34E+01,3.11E+01
14877,16:33.8,12.75,3.56E+01,3.34E+01,3.11E+01
14878,16:33.8,12.811,3.56E+01,3.34E+01,3.10E+01
14879,16:33.9,12.873,3.56E+01,3.34E+01,3.10E+01
14880,16:34.1,13.069,3.56E+01,3.34E+01,3.11E+01
14881,16:34.2,13.126,3.56E+01,3.34E+01,3.11E+01
14882,16:34.2,13.186,3.56E+01,3.34E+01,3.11E+01
14883,16:34.3,13.247,3.56E+01,3.34E+01,3.11E+01
14884,16:34.3,13.311,3.56E+01,3.34E+01,3.11E+01
14885,16:34.4,13.375,3.56E+01,3.34E+01,3.11E+01
14886,16:34.5,13.436,3.56E+01,3.34E+01,3.11E+01
14887,16:34.5,13.501,3.56E+01,3.34E+01,3.11E+01
14888,16:34.6,13.561,3.56E+01,3.34E+01,3.11E+01
14889,16:34.7,13.626,3.56E+01,3.34E+01,3.11E+01
14890,16:34.7,13.685,3.56E+01,3.34E+01,3.11E+01
14891,16:34.8,13.75,3.55E+01,3.34E+01,3.11E+01
14892,16:34.8,13.81,3.55E+01,3.34E+01,3.11E+01
14893,16:34.9,13.875,3.53E+01,3.34E+01,3.10E+01
14894,16:35.0,13.936,3.53E+01,3.33E+01,3.10E+01
14895,16:35.0,14.001,3.53E+01,3.33E+01,3.10E+01
14896,16:35.1,14.062,3.53E+01,3.33E+01,3.10E+01
14897,16:35.2,14.125,3.53E+01,3.33E+01,3.10E+01
14898,16:35.2,14.187,3.53E+01,3.33E+01,3.09E+01
